title,year,runtime,genres,rating,metascore,votes,gross,genres_list,main_genre
"Three Billboards Outside Ebbing, Missouri",2017.0,115,"Comedy, Crime, Drama",8.2,88.0,432610,54513740.0,"['Comedy', 'Crime', 'Drama']",Comedy
Talvar,2015.0,132,"Crime, Drama, Mystery",8.2,79.0,31142,342370.0,"['Crime', 'Drama', 'Mystery']",Crime
Baahubali 2: The Conclusion,2017.0,167,"Action, Drama",8.2,79.0,75348,20186659.0,"['Action', 'Drama']",Action
Klaus,2019.0,96,"Animation, Adventure, Comedy",8.2,65.0,104761,23530892.0,"['Animation', 'Adventure', 'Comedy']",Animation
Drishyam,2015.0,163,"Crime, Drama, Mystery",8.2,79.0,70367,739478.0,"['Crime', 'Drama', 'Mystery']",Crime
Queen,2013.0,146,"Adventure, Comedy, Drama",8.2,79.0,60701,1429534.0,"['Adventure', 'Comedy', 'Drama']",Adventure
Mandariinid,2013.0,87,"Drama, War",8.2,73.0,40382,144501.0,"['Drama', 'War']",Drama
Bhaag Milkha Bhaag,2013.0,186,"Biography, Drama, Sport",8.2,79.0,61137,1626289.0,"['Biography', 'Drama', 'Sport']",Biography
Gangs of Wasseypur,2012.0,321,"Action, Comedy, Crime",8.2,89.0,82365,23530892.0,"['Action', 'Comedy', 'Crime']",Action
Udaan,2010.0,134,Drama,8.2,79.0,42341,7461.0,['Drama'],Drama
Paan Singh Tomar,2012.0,135,"Action, Biography, Crime",8.2,79.0,33237,39567.0,"['Action', 'Biography', 'Crime']",Action
El secreto de sus ojos,2009.0,129,"Drama, Mystery, Romance",8.2,80.0,193217,6391436.0,"['Drama', 'Mystery', 'Romance']",Drama
Warrior,2011.0,140,"Action, Drama, Sport",8.2,71.0,435950,13657115.0,"['Action', 'Drama', 'Sport']",Action
Shutter Island,2010.0,138,"Mystery, Thriller",8.2,63.0,1129894,128012934.0,"['Mystery', 'Thriller']",Mystery
Up,2009.0,96,"Animation, Adventure, Comedy",8.2,88.0,935507,293004164.0,"['Animation', 'Adventure', 'Comedy']",Animation
The Wolf of Wall Street,2013.0,180,"Biography, Crime, Drama",8.2,75.0,1187498,116900694.0,"['Biography', 'Crime', 'Drama']",Biography
Chak De! India,2007.0,153,"Drama, Family, Sport",8.2,68.0,74129,1113541.0,"['Drama', 'Family', 'Sport']",Drama
There Will Be Blood,2007.0,158,Drama,8.2,93.0,517359,40222514.0,['Drama'],Drama
Pan's Labyrinth,2006.0,118,"Drama, Fantasy, War",8.2,98.0,618623,37634615.0,"['Drama', 'Fantasy', 'War']",Drama
Toy Story 3,2010.0,103,"Animation, Adventure, Comedy",8.2,92.0,757032,415004880.0,"['Animation', 'Adventure', 'Comedy']",Animation
V for Vendetta,2005.0,132,"Action, Drama, Sci-Fi",8.2,62.0,1032749,70511035.0,"['Action', 'Drama', 'Sci-Fi']",Action
Rang De Basanti,2006.0,167,"Comedy, Crime, Drama",8.2,79.0,111937,2197331.0,"['Comedy', 'Crime', 'Drama']",Comedy
Black,2005.0,122,Drama,8.2,79.0,33354,733094.0,['Drama'],Drama
